Smpl	ID	Source	Inf_COD	VSS	Inf_NH3	Inf_NO2	Inf_NO3	Eff_COD	Eff_NH3N	Eff_NO2	Eff_NO3	pH	Ammonia_Removal_Percentage	DO	HRT
T01	EC1	EC	780	6866.666667	180	0	10	35	5	0	50	8.2	0.972	2	48
T02	EC2	EC	550	6820	200	0	50	40	40	0	50	8.2	0.8	1	48
T03	EC3	EC	400	6740	170	0	40	50	5	0	50	6.8	0.971	3	48
T05	EC5	EC	1000	5020	140	0	50	30	4	0	35	7.9	0.971	5	48
T06	St1	St	264	8450	123	11.5	0.5	398	111	11.5	0.79	7.6	0.098	3	22
T07	St2	St	246	8450	4.77	19.4	4.35	276	1.63	23.3	10.2	7.2	0.658	3	22
T08	St3	St	268	5700	151	0	1.1	277	135	0	1.85	7.6	0.106	4	22
T09	St4	St	317	9320	18.2	8.9	1.83	417	11	13.4	1.92	7.4	0.396	3	22
T10	St5	St	241	6720	36.8	0	1.96	291	19.4	12.97	1.77	7.7	0.473	5	22
T11	PS1	PS	377	2480	99	0	40	60	80	0.3	100	6.8	0.192	4	128
T12	PS2	PS	329	1460	65	0	111	50	20	0	170	7.2	0.692	4	128
T13	PS3	PS	282	1160	63	1.65	40	89	9	0.02	108	7	0.857	1	128
T14	Sw2	Sw	3840	4500	789	123	218	3360	0.44	792	231	8.5	1	5	72
T15	PC3	PC	127	880	5	0	0	16	0	0	17	7.8	1	4	8
T16	Sw1	Sw	3520	3000	2060	0.01	0	2738	1172	493	186	8.3	0.43	5	144
T17	PC1	PC	158	1260	6	0	0	8	1	0	0	7.8	0.83	5	8
T18	PC2	PC	8	820	10	0	17	8	1	0	0	7	0.9	4	8
